# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
1 0.9659258317 -0.2588190250 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -2.8000001907 1 0001.png

2 0.9576621987 -0.2566048107 -0.1260786108 0.0337826622 -0.0000000596 0.0000001192 -2.7999999523 1 0002.png

3 0.9330126980 -0.2499999985 -0.2500000145 0.0669873041 0.0000000000 0.0000000000 -2.7999999523 1 0003.png

4 0.8923991010 -0.2391176210 -0.3696438072 0.0990457655 0.0000000000 -0.0000001192 -2.7999999523 1 0004.png

5 0.8365163036 -0.2241438627 -0.4829629148 0.1294095261 0.0000000000 0.0000000000 -2.7999999523 1 0005.png

6 0.7663204821 -0.2053349553 -0.5880183837 0.1575590530 0.0000000596 0.0000001043 -2.7999999523 1 0006.png

7 0.6830126941 -0.1830126904 -0.6830127159 0.1830126904 0.0000000000 -0.0000000000 -2.8000001907 1 0007.png

8 0.5880184038 -0.1575590442 -0.7663204691 0.2053349534 -0.0000000596 0.0000001043 -2.7999999523 1 0008.png

9 -0.4829629017 0.1294095206 0.8365163126 -0.2241438606 0.0000000000 0.0000000000 -2.7999999523 1 0009.png

10 -0.3696437971 0.0990457582 0.8923991074 -0.2391176157 0.0000000000 -0.0000001192 -2.7999999523 1 0010.png

11 -0.2500000227 0.0669873040 0.9330126973 -0.2499999929 0.0000000000 0.0000000000 -2.7999999523 1 0011.png

12 -0.1260786169 0.0337826637 0.9576621972 -0.2566048131 0.0000000596 0.0000001192 -2.7999999523 1 0012.png

13 -0.0000000000 0.0000000000 0.9659258257 -0.2588190471 0.0000000000 0.0000000000 -2.8000001907 1 0013.png

14 0.1260786169 -0.0337826637 0.9576621972 -0.2566048131 -0.0000000596 0.0000001192 -2.7999999523 1 0014.png

15 0.2500000227 -0.0669873040 0.9330126973 -0.2499999929 0.0000000000 0.0000000000 -2.7999999523 1 0015.png

16 0.3696437971 -0.0990457582 0.8923991074 -0.2391176157 0.0000000000 -0.0000001192 -2.7999999523 1 0016.png

17 0.4829629017 -0.1294095206 0.8365163126 -0.2241438606 0.0000000000 0.0000000000 -2.7999999523 1 0017.png

18 0.5880184038 -0.1575590442 0.7663204691 -0.2053349534 0.0000000596 0.0000001043 -2.7999999523 1 0018.png

19 0.6830126941 -0.1830126904 0.6830127159 -0.1830126904 0.0000000000 -0.0000000000 -2.8000001907 1 0019.png

20 0.7663204821 -0.2053349553 0.5880183837 -0.1575590530 -0.0000000596 0.0000001043 -2.7999999523 1 0020.png

21 0.8365163036 -0.2241438627 0.4829629148 -0.1294095261 0.0000000000 0.0000000000 -2.7999999523 1 0021.png

22 0.8923991010 -0.2391176210 0.3696438072 -0.0990457655 0.0000000000 -0.0000001192 -2.7999999523 1 0022.png

23 0.9330126980 -0.2499999985 0.2500000145 -0.0669873041 0.0000000000 0.0000000000 -2.7999999523 1 0023.png

24 0.9576621987 -0.2566048107 0.1260786108 -0.0337826622 0.0000000596 0.0000001192 -2.7999999523 1 0024.png

25 0.9961946986 -0.0871557368 0.0000000000 0.0000000000 0.0000000000 0.0000000298 -2.7999999523 1 0025.png

26 0.9876721123 -0.0864101152 -0.1300295150 0.0113761085 0.0000001192 0.0000000298 -2.7999999523 1 0026.png

27 0.9622501890 -0.0841859764 -0.2578341549 0.0225575641 0.0000000000 0.0000000000 -2.7999999523 1 0027.png

28 0.9203638910 -0.0805214024 -0.3812272096 0.0333530588 0.0000000000 0.0000000298 -2.8000001907 1 0028.png

29 0.8627299199 -0.0754790803 -0.4980973428 0.0435778700 0.0000000000 0.0000000075 -2.7999997139 1 0029.png

30 0.7903344097 -0.0691452999 -0.6064448840 0.0530570540 -0.0000001192 0.0000000261 -2.7999997139 1 0030.png

31 0.7044160268 -0.0616284125 -0.7044160268 0.0616284125 0.0000000000 0.0000000298 -2.7999999523 1 0031.png

32 0.6064449047 -0.0530570595 -0.7903343933 0.0691453019 0.0000001192 0.0000000261 -2.7999997139 1 0032.png

33 -0.4980973389 0.0435778692 0.8627299219 -0.0754790841 0.0000000000 0.0000000075 -2.7999997139 1 0033.png

34 -0.3812272185 0.0333530599 0.9203638872 -0.0805214034 0.0000000000 0.0000000298 -2.8000001907 1 0034.png

35 -0.2578341694 0.0225575644 0.9622501847 -0.0841859813 0.0000000000 0.0000000000 -2.7999999523 1 0035.png

36 -0.1300294950 0.0113761076 0.9876721154 -0.0864101096 -0.0000001192 0.0000000298 -2.7999999523 1 0036.png

37 -0.0000000000 0.0000000000 0.9961946988 -0.0871557351 0.0000000000 0.0000000298 -2.7999999523 1 0037.png

38 0.1300294950 -0.0113761076 0.9876721154 -0.0864101096 0.0000001192 0.0000000298 -2.7999999523 1 0038.png

39 0.2578341694 -0.0225575644 0.9622501847 -0.0841859813 0.0000000000 0.0000000000 -2.7999999523 1 0039.png

40 0.3812272185 -0.0333530599 0.9203638872 -0.0805214034 0.0000000000 0.0000000298 -2.8000001907 1 0040.png

41 0.4980973389 -0.0435778692 0.8627299219 -0.0754790841 0.0000000000 0.0000000075 -2.7999997139 1 0041.png

42 0.6064449047 -0.0530570595 0.7903343933 -0.0691453019 -0.0000001192 0.0000000261 -2.7999997139 1 0042.png

43 0.7044160268 -0.0616284125 0.7044160268 -0.0616284125 0.0000000000 0.0000000298 -2.7999999523 1 0043.png

